You are (a):,What is the name of the company you work in?,What is your position at the university you are working in?,What are you studying?,Which academical institution are you affiliated with?,Academia/Industry/Other?,Are you a member of the Norwegian Chemical Society?,Can you briefly explain why you are a member in the Norwegian Chemical Society?,"When was the last time you read the publication ""Kjemi""?","On a scale from 1-5, how interesting do you find the publication ""Kjemi"" is for you?
",Are you familiar with the Norwegian Chemical Society?,"On a scale from 1 -5, how interested would you be in joining the Norwegian Chemical Society?","If you answered 3 or lower in the last question, could you give a brief description to why? 
","Are you familiar with any of the offers of events, courses, etc. in your local area/for your area of interest which the Norwegian Chemical Society offers? If yes, which are you familiar with?",When did you last attend an event hosted by the Norwegian Chemical Society?,What do you believe to be the reason you have not gone to a Norwegian Chemical Society-event?,"On a scale from 1-5, how interested are you in: scientific talks about chemistry or chemistry-related topics","If you answered 4 or higher on the last question, are there any particular topics you would like to hear more about?","On a scale from 1-5, how interested are you in: visits to chemistry-related businesses?","If you answered 4 or higher on the last question, are there any particular businesses you would like to visit?","On a scale from 1-5, how interested are you in: crash-courses for specific courses?","On a scale from 1-5, how interested are you in courses/workshop in how to present, write a job application, etc.?","On a scale from 1-5, how interested are you in introduction/mid-level courses in software relevant to chemistry/research-related topics?","On a scale from 1-5, how interested are you in non-chemistry related social events","If you answered 4 or higher on the last question, what kind of events would you be interested in?",Any other events you would suggest that the Norwegian Chemical Society could host?,Any other events you would suggest that the Norwegian Chemical Society could host?,Which format do you prefer to attend events in? (You can choose multiple options),Which of the following formats do you think would be interesting to see from the Norwegian Chemical Society? (You can select multiple answers),How would you like to be informed about future events from the Norwegian Chemical Society?,Which day of the week would be the best option for you to attend an event hosted by the Norwegian Chemical Society? (You can select multiple options),When do you think is the best time for an event from the Norwegian Chemical Society to start?,"On a scale from 1 to 5, how strongly do you identify yourself as a chemist?","On a scale from 1 to 5, how relevant do you feel the Norwegian Chemical Society is for you?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with Norwegian Chemical Society logo?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with a design that shows your interest in chemistry?","If you answered 3 or higher on the previous question(s), what do you think would be a fair price (in NOK) for a t-shirt with such a design on it?",Is there something you like about the Norwegian Chemical Society?,Is there something you do not like about the Norwegian Chemical Society?,Is there anything you would like to add? 
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,2,Not relevant for me,,Never,Was not informed about the event,3,,5,"Bedrifter som driver med medisinsk utvikling og legemiddelproduksjon, relatert til organisk kjemi",4,4,3,2,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Posters at my faculty","Fredag / Friday, Søndag / Sunday",,4,3,2,4,250,,,
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,3,,4,,3,3,2,5,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Twitter/X, Instagram (chemistry content)","Website, Instagram","Onsdag / Wednesday, Torsdag / Thursday",2:00:00 PM,3,3,3,3,400,,,
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,Was not informed about the event,2,,4,,4,5,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","Website, Facebook, Instagram, Discord, Posters at my faculty","Fredag / Friday, Lørdag / Saturday",,4,3,2,2,,,,
A student at a bachelor level,,,Fornybar energi og nanoteknologi,UiO,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,2,,4,,2,1,3,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)",Facebook,Ingen preferanse / No preferance for day,,3,3,4,4,,,,
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,Was not informed about the event,4,,4,,5,3,2,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Instagram (chemistry content)","Website, Facebook, Instagram",Ingen preferanse / No preferance for day,5:00:00 PM,4,3,1,1,,,,"Increase visibility, Increase activity, Increase visibility"
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,3,,,Never,Was not informed about the event,4,,5,,5,5,5,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,4:00:00 PM,5,3,1,4,200,,,
A student at a bachelor level,,,,,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,3,,3,,5,4,4,3,,,,Ingen preferanse / No preference,Podcast about chemistry,E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,3,3,2,3,100,,,
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,No,4,,,Never,Was not informed about the event,5,Solceller,3,,4,2,4,4,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Twitter/X",E-mail,Ingen preferanse / No preferance for day,,4,4,3,3,200,,,
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,4,"Ny forsking, organisk kjemi",4,"GE Healthcare, Dynea og Jotun",4,5,4,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)",,Ingen preferanse / No preferance for day,,4,4,4,5,150,,,
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,No,4,,,Never,Was not informed about the event,4,,4,,5,5,5,4,,,,Fysisk / In-person,"YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Posters at my faculty",Ingen preferanse / No preferance for day,,4,,,4,,,,"Increase visibility, Increase activity, Increase visibility"
A student at master's level,,,Aquacultural civilengineering,UiB,Academia,Non-member,,,,Yes,3,,,Never,Was not informed about the event,4,"Ionic liquids, water techology, Selenium toxicology",2,,2,4,4,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Twitter/X, Instagram (chemistry content)",,"Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",,4,3,4,4,325,,,
A student at master's level,,,Medisinsk teknologi,UiB,Academia,Non-member,,,,Yes,4,,,Never,Was not informed about the event,4,,4,,4,5,3,4,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,3,3,2,2,,,,
A student at master's level,,,Biokjemi ,UiS,Academia,Non-member,,,,No,4,,Juleavslutning,Never,Was not informed about the event,4,Synthetic Biology ,3,,4,4,4,4,,,,Fysisk / In-person,Newsletter with short form content,"Website, Discord, Posters at my faculty",Ingen preferanse / No preferance for day,6:00:00 PM,5,4,4,5,225,,,
A student at master's level,,,Chemistry,UiT,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,,Never,Was not informed about the event,4,Beregningsbasert kjemi,4,Bedrifter med stillinger for beregningsbaserte kjemikere,4,5,4,4,Alt,Utenlandske besøk,,"Fysisk / In-person, Digitalt / Digitally",Livestream/VODs from NKS events,"E-mail, Posters at my faculty",Mandag / Monday,12:00:00 PM,5,4,3,4,100,,,
Employed in industry,Equinor ,,,,Industry,Non-member,,,,No,3,Not relevant for me,,Never,Was not informed about the event,4,"Analytisk kjemi, kromatografi, massespektroskopi, ekstrakjsonsmetoder",5,No,4,2,4,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content","E-mail, Website, Facebook",Ingen preferanse / No preferance for day,6:00:00 PM,5,4,2,5,400,,,"Increase visibility, Increase activity, Increase visibility"
Employed in industry,Havforskningsinstituttet,,,,Industry,Non-member,,,,No,4,,,Never,Was not informed about the event,3,,3,,3,4,3,2,,,,Digitalt / Digitally,"YouTube videos about chemistry, Twitter/X",E-mail,Ingen preferanse / No preferance for day,,5,3,4,4,,,,
Employed in industry,Kappa Bioscience,,,,Industry,Member,,This year,3,,,,,More than 3 years ago,Was not informed about the event,3,,4,,4,3,4,2,,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,,5,3,2,2,,,,
Employed in industry,Nammo Raufoss AS,,,,Industry,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,4,,4,,3,4,3,4,,,,Fysisk / In-person,Podcast about chemistry,"E-mail, Facebook",Ingen preferanse / No preferance for day,6:00:00 PM,5,4,1,2,,,,
Employed in industry,Sonic Flow,,,,Industry,Non-member,,,,No,4,,,Never,Was not informed about the event,4,,3,,1,2,2,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry","E-mail, Website",Ingen preferanse / No preferance for day,,4,4,2,3,250,,,
Employed in industry,TioTech AS,,,,Industry,Non-member,,,,No,2,Not relevant for me,,Never,Was not informed about the event,4,organisk kjemi i norsk industri,4,nei,4,1,1,2,,,,Fysisk / In-person,Newsletter with short form content,Website,Fredag / Friday,4:00:00 PM,4,2,1,1,,,,
Employed in industry,,,,,Industry,Non-member,,,,No,1,Not familiar with the benefits,,Never,Was not informed about the event,5,,5,,5,5,5,5,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)",,,,5,2,1,2,,,,
Health sector,,,,,Other,Non-member,,,,Yes,4,,,Never,Was not informed about the event,5,Miljøkjemi eller analytisk kjemi,2,,5,2,3,1,,"Kurs som kan gjøre en bedre rustet for en phd, typ metodeutvikling, programvare, prosjektplanlegging/organisering",,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Website","Fredag / Friday, Lørdag / Saturday",,5,4,3,5,250,,,"Increase visibility, Increase activity, Increase visibility"
Ph.D. student,,,Chemistry,UiT,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,4,,4,Biotech,3,4,5,3,,,,Digitalt / Digitally,Instagram (chemistry content),"E-mail, Posters at my faculty",Torsdag / Thursday,4:00:00 PM,4,3,3,4,200,,,
University employee,,Postdoc / Researcher,,NTNU,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Was not informed about the event,3,,2,,2,4,4,3,,,,Fysisk / In-person,Podcast about chemistry,"E-mail, Website",Ingen preferanse / No preferance for day,9:00:00 AM,3,3,3,3,,,,
University employee,,Postdoc / Researcher,,UiB,Academia,Member,,This year,3,,,,,Never,Was not informed about the event,4,Academic to industry ,5,Carbon capture ,3,4,3,4,Nettverking/Sosialt,,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content, Twitter/X","E-mail, Posters at my faculty",Ingen preferanse / No preferance for day,10:00:00 AM,3,4,5,4,,,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,"Was not informed about the event, Did not have time",5,,5,,3,5,5,5,,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)","E-mail, Facebook",Ingen preferanse / No preferance for day,6:00:00 PM,5,3,1,4,300,,,
A student at master's level,,,Farmasi,UiO,Academia,Member,"Conferences, Became a member when I was a student",,,,,,Conferences/Meetings,Never,"Was not informed about the event, Did not have time",4,,5,Jotun,5,3,2,1,,,,Fysisk / In-person,YouTube videos about chemistry,"E-mail, Posters at my faculty","Fredag / Friday, Lørdag / Saturday",,3,4,1,5,,,,
Employed in industry,Inivyn,,,,Industry,Member,Recommended membership,This year,3,,,,,Never,"Was not informed about the event, Did not have time",3,,1,,1,1,1,1,,,,Ingen preferanse / No preference,Newsletter with short form content,E-mail,Ingen preferanse / No preferance for day,,3,3,1,1,,,,
Health sector,,,,,Other,Member,,This year,2,,,,,More than 3 years ago,"Was not informed about the event, Did not have time",4,,2,,1,1,1,2,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,,5,3,3,4,,,,
Employed in industry,Equinor ,,,,Industry,Non-member,,,,Yes,1,Not familiar with the benefits,,More than 3 years ago,"Was not informed about the event, I have felt that I have not been in the target audience for the events",3,,1,,1,1,1,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Newsletter with short form content",,Ingen preferanse / No preferance for day,,4,2,1,3,,,,
University employee,,Administration,,UiT,Academia,Non-member,,,,Yes,4,,,More than 3 years ago,"Was not informed about the event, No events have been neither interesting or relevant for me",4,Yrker og eksperimenter til formidling ,4,,2,2,4,3,,,,Ingen preferanse / No preference,"YouTube videos about chemistry, Newsletter with short form content","E-mail, Posters at my faculty","Tirsdag / Tuesday, Fredag / Friday",10:00:00 AM,5,4,5,5,200,,,
Employed in industry,ProsessPilotene AS,,,,Industry,Non-member,,,,Yes,3,Not relevant for me,,More than 3 years ago,"Was not informed about the event, No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",4,,4,,2,2,2,2,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,,5,2,1,1,,,,
Teacher,,,,,Other,Non-member,,,,Yes,3,Not relevant for me,,More than 3 years ago,"Was not informed about the event, No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",3,,3,,2,3,4,4,,,,Fysisk / In-person,,Facebook,Mandag / Monday,,4,4,4,5,300,,,
Employed in industry,Elkem,,,,Industry,Non-member,,,,Yes,3,Not familiar with the benefits,,More than 3 years ago,"Was not informed about the event, No events have been neither interesting or relevant for me, The time of the event did not suit me well",4,Analyse utfordringer på uorganisk kjemi,5,,4,1,1,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Website",Ingen preferanse / No preferance for day,9:00:00 AM,5,3,3,5,450,,,
Health sector,,,,,Other,Member,"Community, Duty",1-3 years ago,3,,,,Lectures,More than 3 years ago,"Was not informed about the event, No events have been neither interesting or relevant for me, The time of the event did not suit me well, I have felt that I have not been in the target audience for the events",4,Biokjemi/bioanalyse,2,,2,3,3,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website, Posters at my faculty","Onsdag / Wednesday, Torsdag / Thursday",,4,4,2,2,,,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,No,5,,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",4,,5,,5,5,5,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram, Posters at my faculty","Lørdag / Saturday, Søndag / Sunday",10:00:00 AM,3,4,5,5,300,,,
A student at master's level,,,Chemistry,Norwegian University of Life Sciences,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,Conferences/Meetings,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events, Cost",4,"Radiokjemi, Toksikologi",4,Bayer,3,4,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Website, Facebook, Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,,3,3,1,2,250,,,
Employed in industry,NOAH AS,,,,Industry,Member,"Recommended membership, Events, The publication ""Kjemi""",1-3 years ago,3,,,,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events, Other",2,,3,,4,2,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,,5,3,1,4,199,,,"Increase visibility, Increase activity, Increase visibility"
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,"Was not informed about the event, The time of the event did not suit me well",4,,4,,5,4,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Posters at my faculty",Ingen preferanse / No preferance for day,,3,3,3,4,150,,,
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,No,4,,Lectures,Never,"Was not informed about the event, The time of the event did not suit me well",4,kvantekjemi,2,,4,4,4,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Website, Posters at my faculty",Ingen preferanse / No preferance for day,,5,4,3,5,150,,,
A student at master's level,,,Chemistry,UiO,Academia,Non-member,,,,No,3,,,Never,"Was not informed about the event, The time of the event did not suit me well",4,,5,,3,5,4,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Posters at my faculty","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",4:30:00 PM,5,4,4,4,300,,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,,Never,"Was not informed about the event, Did not have time, The time of the event did not suit me well, I have felt that I have not been in the target audience for the events, Late/little/bad information",5,,5,"Mulige arbeidsgivere :) Sintef, GE, Borregaard osv..",5,,5,3,,,,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Facebook, Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,6:00:00 PM,4,3,3,3,300,,,"Increase visibility, Increase activity, Increase visibility"
Employed in industry,Epax Norway,,,,Industry,Member,"Old habit, The publication ""Kjemi""",This year,3,,,,,Never,Did not have time,3,,3,,1,1,1,3,,,,Ingen preferanse / No preference,YouTube videos about chemistry,E-mail,Ingen preferanse / No preferance for day,,5,3,3,5,100,,,
Employed in industry,Equinor ,,,,Industry,Member,Subject interest,This year,4,,,,,Never,Did not have time,4,Kjemometri og kjemisk termodynamikk,3,,4,4,4,1,,,,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,Ingen preferanse / No preferance for day,8:00:00 PM,5,4,2,3,,,,
Employed in industry,Sykehus,,,,Industry,Member,Conferences,This year,4,,,,Lectures,More than 3 years ago,Did not have time,2,,1,,1,1,1,1,,,,Ingen preferanse / No preference,,E-mail,Ingen preferanse / No preferance for day,,5,3,1,1,,,,
Employed in industry,,,,,Industry,Member,Networking,This year,5,,,,Conferences/Meetings,More than 3 years ago,Did not have time,5,,4,,5,3,5,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Tirsdag / Tuesday, Torsdag / Thursday",7:00:00 PM,5,4,3,3,,,,
Health sector,,,,,Other,Non-member,,,,Yes,5,,,More than 3 years ago,Did not have time,5,,5,GE,5,1,5,1,,,,Fysisk / In-person,Podcast about chemistry,"Facebook, Instagram",Ingen preferanse / No preferance for day,6:30:00 PM,3,3,3,3,,,,
Pensioner,,,,,Other,Member,"Subject interest, Informed about recent development",This year,5,,,,,More than 3 years ago,Did not have time,3,,3,,1,1,3,2,,,,Ingen preferanse / No preference,,E-mail,Ingen preferanse / No preferance for day,7:00:00 PM,5,5,2,1,,,,
University employee,,Postdoc / Researcher,,UiT,Academia,Member,,Never,5,,,,,Never,Not been a member for long,5,Organic synthesis and Catalysis,5,,4,5,5,4,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Facebook, Posters at my faculty","Lørdag / Saturday, Søndag / Sunday",,5,5,5,5,200,,,
University employee,,(Assoc.) Professor,,NTNU,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,Not been a member for long,3,,3,,3,1,2,2,,,,Ingen preferanse / No preference,YouTube videos about chemistry,"Website, Posters at my faculty",Ingen preferanse / No preferance for day,,3,3,1,2,,,,
A student at a bachelor level,,,Fornybar energi og nanoteknologi,UiO,Academia,Non-member,,,,No,3,Not familiar with the benefits,,Never,"Late/little/bad information, Was not informed about the event",2,,3,,3,1,2,1,,,,Fysisk / In-person,,E-mail,Ingen preferanse / No preferance for day,1:00:00 PM,3,4,1,1,,,,
A student at master's level,,,Chemistry,UiO,Academia,Member,Conferences,Never,,,,,,Never,No events have been neither interesting or relevant for me,3,,4,"Thermo, GE, Forskningsparken",4,4,4,3,,,,Digitalt / Digitally,Podcast about chemistry,E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,4,4,4,4,100,,,
Employed in industry,IFE,,,,Industry,Member,,1-3 years ago,3,,,,,Never,No events have been neither interesting or relevant for me,4,catalysis,5,equinor,5,2,3,5,Vitenskapelig,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Facebook",Ingen preferanse / No preferance for day,,5,3,2,3,200,,,
Pensioner,,,,,Other,Member,I am a chemist,This year,4,,,,,More than 3 years ago,No events have been neither interesting or relevant for me,4,,2,,1,1,1,2,,,,Fysisk / In-person,Podcast about chemistry,E-mail,Mandag / Monday,,4,4,1,1,,,,
University employee,,Engineer,,UiO,Academia,Member,Became a member when I was a student,This year,3,,,,,Never,No events have been neither interesting or relevant for me,4,Organisk kjemi,5,"Jotun, Chemring Nobel, Kappa Solutions, Bayer",4,3,4,2,,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,,4,3,3,3,,,,
A student at master's level,,,Chemistry,UiO,Academia,Member,Conferences,1-3 years ago,3,,,,,Never,"No events have been neither interesting or relevant for me, Did not have time",4,"Analytisk kjemi, Livsvitenskap, Interdisiplinært samarbeid",5,"GE, SINTEF, Thermo Fisher, Nykode, bedrifter innen pharmaceutical development",5,3,5,4,"Quiz, Vitenskapelig, Nettverking/Sosialt",,,"Fysisk / In-person, Digitalt / Digitally, Ingen preferanse / No preference",Podcast about chemistry,E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday",6:00:00 PM,4,4,4,5,50,,,
Forskningsinstitutt,,,,,Other,Member,"Networking, Events",1-3 years ago,3,,,,,More than 3 years ago,"No events have been neither interesting or relevant for me, Did not have time, Too far away",4,wider selection of speakers from various science and technology levels,2,maybe relevant for younger students,4,3,5,2,,annual meetings mixing industry and academia,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Newsletter with short form content",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Ingen preferanse / No preferance for day",,4,4,4,2,,,,
Rådgivning/Konsulent,,,,,Other,Member,,1-3 years ago,2,,,,,More than 3 years ago,"No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",3,,3,,1,1,4,2,,,,Digitalt / Digitally,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram","Tirsdag / Tuesday, Torsdag / Thursday",5:30:00 PM,4,2,2,4,300,,,
Teacher,,,,,Other,Member,Kjemilærerforening,1-3 years ago,3,,,,,More than 3 years ago,"No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",3,,4,"Kunne ønske å ta med elever på ulike bedrifter som jobber innenfor kjemi. Egentlig ingen spesielle, men flere ulike bedrifter for å vise bredden i faget",1,2,4,1,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry",E-mail,Onsdag / Wednesday,6:30:00 PM,4,3,3,3,150,,,
University employee,,(Assoc.) Professor,,Norwegian University of Life Sciences,Academia,Member,Community,This year,2,,,,Conferences/Meetings,More than 3 years ago,"No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",5,organisk analytisk kjemi,2,,1,1,1,1,,,,"Fysisk / In-person, Digitalt / Digitally",Livestream/VODs from NKS events,"E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",9:00:00 AM,5,4,2,2,,,,
Pensioner,,,,,Other,Member,,This year,3,,,,,More than 3 years ago,"No events have been neither interesting or relevant for me, The time of the event did not suit me well",3,,4,,1,1,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Tirsdag / Tuesday, Onsdag / Wednesday",,5,3,2,2,,,,
Health sector,,,,,Other,Member,,This year,2,,,,,Never,"No events have been neither interesting or relevant for me, The time of the event did not suit me well, Did not have time",4,analytisk organisk kjemi,4,,2,1,3,4,,,,Fysisk / In-person,Livestream/VODs from NKS events,"E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Lørdag / Saturday",,4,2,1,5,300,,,
University employee,,(Assoc.) Professor,,Norwegian University of Life Sciences,Academia,Member,Community,This year,3,,,,,More than 3 years ago,"No events have been neither interesting or relevant for me, The time of the event did not suit me well, Did not have time",3,,3,,3,3,4,3,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Newsletter with short form content",E-mail,"Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",3:00:00 PM,5,3,3,3,,,,
A student at a bachelor level,,,MENA (UiO),UiO,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,,Never,"No events have been neither interesting or relevant for me, The time of the event did not suit me well, I have felt that I have not been in the target audience for the events",4,,5,,1,1,3,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,,3,3,3,5,,,,
A student at master's level,,,Chemistry,UiO,Academia,Member,Conferences,Never,,,,,,Never,I have felt that I have not been in the target audience for the events,2,,4,GE Healthcare,4,2,4,3,,,,Ingen preferanse / No preference,,Posters at my faculty,Ingen preferanse / No preferance for day,,3,2,2,4,,,,
Pensioner,,,,,Other,Member,"Subject interest, Informed about recent development",This year,3,,,,,More than 3 years ago,I have felt that I have not been in the target audience for the events,4,,2,,2,2,3,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Tirsdag / Tuesday, Torsdag / Thursday",7:00:00 PM,4,4,2,4,,,,
Teacher,,,,,Other,Non-member,,,,Yes,3,Not relevant for me,,More than 3 years ago,"I have felt that I have not been in the target audience for the events, ",4,,3,,3,1,3,3,,,,Digitalt / Digitally,"Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Facebook","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",8:00:00 PM,4,3,3,3,,,,
Employed in industry,K.A. Rasmussen ,,,,Industry,Non-member,,,,Yes,2,Not relevant for me,,Never,"I have felt that I have not been in the target audience for the events, Too far away",3,,3,,1,1,3,1,,,,Ingen preferanse / No preference,"Newsletter with short form content, Instagram (chemistry content)",E-mail,,,4,3,2,4,250,,,
Teacher,,,,,Other,Member,"Subject interest, Informed about recent development",This year,5,,,,,More than 3 years ago,"I have felt that I have not been in the target audience for the events, Too far away",4,,4,,1,1,3,1,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Instagram",Ingen preferanse / No preferance for day,,3,4,3,3,,,,
Employed in industry,Havforskningsinstituttet,,,,Industry,Non-member,,,,Yes,3,Not familiar with the benefits,,More than 3 years ago,"I have felt that I have not been in the target audience for the events, Did not have time",3,,4,,4,,4,4,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,6:00:00 PM,4,3,3,4,250,,,
